inning,batting_team,bowling_team,extra_runs,match_year
1,KKR,RCB,17,2008
2,RCB,KKR,19,2008
1,KXI,MI,7,2008
2,MI,KXI,7,2008
1,RCB,RR,6,2008
2,RR,RCB,3,2008
1,KKR,CSK,8,2008
2,CSK,KKR,18,2008
1,MI,DC,11,2008
2,DC,MI,9,2008
1,DD,KXI,11,2008
2,KXI,DD,9,2008
1,CSK,RCB,4,2008
2,RCB,CSK,7,2008
1,KKR,MI,13,2008
2,MI,KKR,15,2008
1,DD,RCB,4,2008
2,RCB,DD,12,2008
1,DC,KXI,4,2008
2,KXI,DC,6,2008
1,RR,KKR,14,2008
2,KKR,RR,12,2008
1,CSK,KXI,6,2008
2,KXI,CSK,11,2008
1,CSK,DD,7,2008
2,DD,CSK,6,2008
1,DC,RCB,13,2008
2,RCB,DC,3,2008
1,KXI,KKR,14,2008
2,KKR,KXI,7,2008
1,MI,DD,10,2008
2,DD,MI,4,2008
1,CSK,RR,7,2008
2,RR,CSK,21,2008
1,RCB,KXI,10,2008
2,KXI,RCB,17,2008
1,CSK,DC,10,2008
2,DC,CSK,5,2008
1,RR,MI,7,2008
2,MI,RR,12,2008
1,DD,CSK,12,2008
2,CSK,DD,11,2008
1,KKR,RCB,5,2008
2,RCB,KKR,6,2008
1,RR,DD,7,2008
2,DD,RR,10,2008
1,DC,RR,6,2008
2,RR,DC,11,2008
1,RCB,MI,11,2008
2,MI,RCB,13,2008
1,CSK,KXI,15,2008
2,KXI,CSK,3,2008
1,KKR,DC,5,2008
2,DC,KKR,16,2008
1,DD,RR,11,2008
2,RR,DD,17,2008
1,RCB,KXI,15,2008
2,KXI,RCB,9,2008
1,KKR,DD,11,2008
2,DD,KKR,8,2008
1,CSK,MI,12,2008
2,MI,CSK,16,2008
1,KXI,RR,5,2008
2,RR,KXI,4,2008
1,DD,DC,8,2008
2,DC,DD,3,2008
1,MI,RCB,11,2008
2,RCB,MI,5,2008
1,KKR,MI,8,2008
2,MI,KKR,10,2008
1,DD,KXI,10,2008
2,KXI,DD,4,2008
1,RR,RCB,26,2008
2,RCB,RR,6,2008
1,MI,DC,20,2008
2,DC,MI,8,2008
1,KKR,CSK,13,2008
2,CSK,KKR,4,2008
1,RCB,DD,9,2008
2,DD,RCB,12,2008
1,KKR,RR,5,2008
2,RR,KKR,7,2008
1,KXI,MI,12,2008
2,MI,KXI,23,2008
1,RCB,CSK,4,2008
2,CSK,RCB,12,2008
1,DC,KXI,5,2008
2,KXI,DC,8,2008
1,DC,KKR,10,2008
2,KKR,DC,28,2008
1,MI,DD,9,2008
2,DD,MI,3,2008
1,RR,CSK,7,2008
2,CSK,RR,9,2008
1,RCB,DC,5,2008
2,DC,RCB,6,2008
1,KXI,KKR,11,2008
2,KKR,KXI,9,2008
1,MI,RR,13,2008
2,RR,MI,16,2008
1,DC,CSK,16,2008
2,CSK,DC,11,2008
1,RR,DD,4,2008
2,DD,RR,7,2008
1,KXI,CSK,4,2008
2,CSK,KXI,4,2008
1,CSK,RR,7,2008
2,RR,CSK,14,2008
1,KXI,RR,4,2008
2,RR,KXI,12,2008
1,DC,DD,5,2008
2,DD,DC,12,2008
1,CSK,MI,18,2008
2,MI,CSK,13,2008
1,DC,RR,6,2008
2,RR,DC,7,2008
1,MI,CSK,3,2009
2,CSK,MI,9,2009
1,RCB,KXI,8,2009
2,KXI,RCB,13,2009
1,DC,MI,14,2009
2,MI,DC,13,2009
1,RCB,DD,11,2009
2,DD,RCB,4,2009
1,KXI,RR,13,2009
2,RR,KXI,10,2009
1,CSK,DC,7,2009
2,DC,CSK,10,2009
1,MI,KKR,9,2009
2,KKR,MI,4,2009
1,DD,RR,5,2009
2,RR,DD,9,2009
1,KKR,RCB,9,2009
2,RCB,KKR,9,2009
1,KXI,MI,17,2009
2,MI,KXI,11,2009
1,DC,DD,11,2009
2,DD,DC,12,2009
1,RCB,RR,4,2009
2,RR,RCB,9,2009
1,CSK,RR,5,2009
2,RR,CSK,8,2009
1,MI,KKR,13,2009
2,KKR,MI,8,2009
1,RCB,KXI,6,2009
2,KXI,RCB,13,2009
1,DC,RR,7,2009
2,RR,DC,7,2009
1,CSK,DD,9,2009
2,DD,CSK,3,2009
1,KKR,KXI,7,2009
2,KXI,KKR,10,2009
1,MI,RCB,6,2009
2,RCB,MI,8,2009
1,CSK,DC,10,2009
2,DC,CSK,7,2009
1,RR,KXI,4,2009
2,KXI,RR,19,2009
1,KKR,DD,4,2009
2,DD,KKR,8,2009
1,KXI,DD,8,2009
2,DD,KXI,5,2009
1,DC,MI,9,2009
2,MI,DC,3,2009
1,RCB,RR,5,2009
2,RR,RCB,3,2009
1,CSK,KXI,6,2009
2,KXI,CSK,6,2009
1,MI,DD,13,2009
2,DD,MI,6,2009
1,DC,KXI,7,2009
2,KXI,DC,9,2009
1,RR,CSK,7,2009
2,CSK,RR,10,2009
1,MI,RCB,7,2009
2,RCB,MI,14,2009
1,KKR,DD,8,2009
2,DD,KKR,13,2009
1,DC,RR,2,2009
2,RR,DC,4,2009
1,KKR,RCB,9,2009
2,RCB,KKR,9,2009
1,KKR,DC,5,2009
2,DC,KKR,2,2009
1,KXI,MI,18,2009
2,MI,KXI,6,2009
1,DD,DC,12,2009
2,DC,DD,8,2009
1,CSK,RCB,4,2009
2,RCB,CSK,8,2009
