inning,batting_team,bowling_team,extra_runs,match_year
1,MI,CSK,0.0,2018.0
2,MI,CSK,0.0,2018.0
1,CSK,MI,0.0,2018.0
2,CSK,MI,0.0,2018.0
1,DD,KXI,0.0,2018.0
2,DD,KXI,0.0,2018.0
1,KXI,DD,0.0,2018.0
2,KXI,DD,0.0,2018.0
1,KKR,RCB,0.0,2018.0
2,KKR,RCB,0.0,2018.0
1,RCB,KKR,0.0,2018.0
2,RCB,KKR,0.0,2018.0
1,SRH,RR,0.0,2018.0
2,SRH,RR,0.0,2018.0
1,RR,SRH,0.0,2018.0
2,RR,SRH,0.0,2018.0
1,CSK,KKR,0.0,2018.0
2,CSK,KKR,0.0,2018.0
1,KKR,CSK,0.0,2018.0
2,KKR,CSK,0.0,2018.0
1,RR,DD,0.0,2018.0
2,RR,DD,0.0,2018.0
1,DD,RR,0.0,2018.0
2,DD,RR,0.0,2018.0
1,SRH,MI,0.0,2018.0
2,SRH,MI,0.0,2018.0
1,MI,SRH,0.0,2018.0
2,MI,SRH,0.0,2018.0
1,RCB,KXI,0.0,2018.0
2,RCB,KXI,0.0,2018.0
1,KXI,RCB,0.0,2018.0
2,KXI,RCB,0.0,2018.0
1,MI,DD,0.0,2018.0
2,MI,DD,0.0,2018.0
1,DD,MI,0.0,2018.0
2,DD,MI,0.0,2018.0
1,KKR,SRH,0.0,2018.0
2,KKR,SRH,0.0,2018.0
1,SRH,KKR,0.0,2018.0
2,SRH,KKR,0.0,2018.0
1,RCB,RR,0.0,2018.0
2,RCB,RR,0.0,2018.0
1,RR,RCB,0.0,2018.0
2,RR,RCB,0.0,2018.0
1,KXI,CSK,0.0,2018.0
2,KXI,CSK,0.0,2018.0
1,CSK,KXI,0.0,2018.0
2,CSK,KXI,0.0,2018.0
1,KKR,DD,0.0,2018.0
2,KKR,DD,0.0,2018.0
1,DD,KKR,0.0,2018.0
2,DD,KKR,0.0,2018.0
1,MI,RCB,0.0,2018.0
2,MI,RCB,0.0,2018.0
1,RCB,MI,0.0,2018.0
2,RCB,MI,0.0,2018.0
1,RR,KKR,0.0,2018.0
2,RR,KKR,0.0,2018.0
1,KKR,RR,0.0,2018.0
2,KKR,RR,0.0,2018.0
1,KXI,SRH,0.0,2018.0
2,KXI,SRH,0.0,2018.0
1,SRH,KXI,0.0,2018.0
2,SRH,KXI,0.0,2018.0
1,CSK,RR,0.0,2018.0
2,CSK,RR,0.0,2018.0
1,RR,CSK,0.0,2018.0
2,RR,CSK,0.0,2018.0
1,KKR,KXI,0.0,2018.0
2,KKR,KXI,0.0,2018.0
1,KXI,KKR,0.0,2018.0
2,KXI,KKR,0.0,2018.0
1,DD,RCB,0.0,2018.0
2,DD,RCB,0.0,2018.0
1,RCB,DD,0.0,2018.0
2,RCB,DD,0.0,2018.0
1,SRH,CSK,0.0,2018.0
2,SRH,CSK,0.0,2018.0
1,CSK,SRH,0.0,2018.0
2,CSK,SRH,0.0,2018.0
1,RR,MI,0.0,2018.0
2,RR,MI,0.0,2018.0
1,MI,RR,0.0,2018.0
2,MI,RR,0.0,2018.0
1,KXI,DD,0.0,2018.0
2,KXI,DD,0.0,2018.0
1,DD,KXI,0.0,2018.0
2,DD,KXI,0.0,2018.0
1,MI,SRH,0.0,2018.0
2,MI,SRH,0.0,2018.0
1,SRH,MI,0.0,2018.0
2,SRH,MI,0.0,2018.0
1,RCB,CSK,0.0,2018.0
2,RCB,CSK,0.0,2018.0
1,CSK,RCB,0.0,2018.0
2,CSK,RCB,0.0,2018.0
1,SRH,KXI,0.0,2018.0
2,SRH,KXI,0.0,2018.0
1,KXI,SRH,0.0,2018.0
2,KXI,SRH,0.0,2018.0
1,DD,KKR,0.0,2018.0
2,DD,KKR,0.0,2018.0
1,KKR,DD,0.0,2018.0
2,KKR,DD,0.0,2018.0
1,CSK,MI,0.0,2018.0
2,CSK,MI,0.0,2018.0
1,MI,CSK,0.0,2018.0
2,MI,CSK,0.0,2018.0
1,RR,SRH,0.0,2018.0
2,RR,SRH,0.0,2018.0
1,SRH,RR,0.0,2018.0
2,SRH,RR,0.0,2018.0
1,RCB,KKR,0.0,2018.0
2,RCB,KKR,0.0,2018.0
1,KKR,RCB,0.0,2018.0
2,KKR,RCB,0.0,2018.0
1,CSK,DD,0.0,2018.0
2,CSK,DD,0.0,2018.0
1,DD,CSK,0.0,2018.0
2,DD,CSK,0.0,2018.0
1,RCB,MI,0.0,2018.0
2,RCB,MI,0.0,2018.0
1,MI,RCB,0.0,2018.0
2,MI,RCB,0.0,2018.0
1,DD,RR,0.0,2018.0
2,DD,RR,0.0,2018.0
1,RR,DD,0.0,2018.0
2,RR,DD,0.0,2018.0
1,KKR,CSK,0.0,2018.0
2,KKR,CSK,0.0,2018.0
1,CSK,KKR,0.0,2018.0
2,CSK,KKR,0.0,2018.0
1,KXI,MI,0.0,2018.0
2,KXI,MI,0.0,2018.0
1,MI,KXI,0.0,2018.0
2,MI,KXI,0.0,2018.0
1,CSK,RCB,0.0,2018.0
2,CSK,RCB,0.0,2018.0
1,RCB,CSK,0.0,2018.0
2,RCB,CSK,0.0,2018.0
1,SRH,DD,0.0,2018.0
2,SRH,DD,0.0,2018.0
1,DD,SRH,0.0,2018.0
2,DD,SRH,0.0,2018.0
1,MI,KKR,0.0,2018.0
2,MI,KKR,0.0,2018.0
1,KKR,MI,0.0,2018.0
2,KKR,MI,0.0,2018.0
1,KXI,RR,0.0,2018.0
2,KXI,RR,0.0,2018.0
1,RR,KXI,0.0,2018.0
2,RR,KXI,0.0,2018.0
1,SRH,RCB,0.0,2018.0
2,SRH,RCB,0.0,2018.0
1,RCB,SRH,0.0,2018.0
2,RCB,SRH,0.0,2018.0
1,RR,KXI,0.0,2018.0
2,RR,KXI,0.0,2018.0
1,KXI,RR,0.0,2018.0
2,KXI,RR,0.0,2018.0
1,KKR,MI,0.0,2018.0
2,KKR,MI,0.0,2018.0
1,MI,KKR,0.0,2018.0
2,MI,KKR,0.0,2018.0
1,DD,SRH,0.0,2018.0
2,DD,SRH,0.0,2018.0
1,SRH,DD,0.0,2018.0
2,SRH,DD,0.0,2018.0
1,RR,CSK,0.0,2018.0
2,RR,CSK,0.0,2018.0
1,CSK,RR,0.0,2018.0
2,CSK,RR,0.0,2018.0
1,KXI,KKR,0.0,2018.0
2,KXI,KKR,0.0,2018.0
1,KKR,KXI,0.0,2018.0
2,KKR,KXI,0.0,2018.0
1,RCB,DD,0.0,2018.0
2,RCB,DD,0.0,2018.0
1,DD,RCB,0.0,2018.0
2,DD,RCB,0.0,2018.0
1,CSK,SRH,0.0,2018.0
2,CSK,SRH,0.0,2018.0
1,SRH,CSK,0.0,2018.0
2,SRH,CSK,0.0,2018.0
1,MI,RR,0.0,2018.0
2,MI,RR,0.0,2018.0
1,RR,MI,0.0,2018.0
2,RR,MI,0.0,2018.0
1,KXI,RCB,0.0,2018.0
2,KXI,RCB,0.0,2018.0
1,RCB,KXI,0.0,2018.0
2,RCB,KXI,0.0,2018.0
1,KKR,RR,0.0,2018.0
2,KKR,RR,0.0,2018.0
1,RR,KKR,0.0,2018.0
2,RR,KKR,0.0,2018.0
1,MI,KXI,0.0,2018.0
